Categories,Key,Item Type,Publication Year,Author,Title,Journal,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
Cell Dynamics,64F2TCPI,journalArticle,2002,"Graham, J.; Hagopian, W. A.; Kockum, I.; Li, L. S.; Sanjeevi, C. B.; Lowe, R. M.; Schaefer, J. B.; Zarghami, M.; Day, H. L.; Landin-Olsson, M.; Palmer, J. P.; Janer-Villanueva, M.; Hood, L.; Sundkvist, G.; Lernmark, A.; Breslow, N.; Dahlquist, G.; Blohme, G.; Diabetes Incidence in Sweden Study, Group; Swedish Childhood Diabetes Study, Group",Genetic effects on age-dependent onset and islet cell autoantibody markers in type 1 diabetes,Diabetes,,,http://dx.doi.org/10.2337/diabetes.51.5.1346,,"Age-dependent associations between type 1 diabetes risk genes HLA, INS VNTR, and CTLA-4 and autoantibodies to GAD65 (GADAs), ICA512/IA-2, insulin, and islet cells were determined by logistic regression analysis in 971 incident patients with type 1 diabetes and 702 control subjects aged 0-34 years. GADAs were associated with HLA-DQ2 in young but not in older patients (P = 0.009). Autoantibodies to insulin were negatively associated with age (P < 0.0001) but positively associated with DQ8 (P = 0.03) and with INS VNTR (P = 0.04), supporting possible immune tolerance induction. ICA512/IA-2 were negatively associated with age (P < 0.0001) and with DQ2 (P < 0.0001) but positively associated with DQ8 (P = 0.04). Males were more likely than females to be negative for GADA (P < 0.0001), autoantibodies to islet cells (P = 0.04), and all four autoantibody markers (P = 0.004). The CTLA-4 3â€°Ã›Âª end microsatellite marker was not associated with any of the autoantibodies. We conclude that age and genetic factors such as HLA-DQ and INS VNTR need to be combined with islet autoantibody markers when evaluating the risk for type 1 diabetes development.",2002-05,9/14/15 19:01,2/9/16 0:19,,1346-55,,5,51,,,,,,,,,,,,,,,,,,,,,Adolescent; Adult; Age of Onset; Autoantibodies/ blood; Biological Markers; Child; Diabetes Mellitus; Female; Genotype; HLA-DQ Antigens/genetics; Humans; Infant; Islets of Langerhans/ immunology; Logistic Models; Male; Newborn; Preschool; Risk Factors; Seroepidemiologic Studies; Sex Distribution; Type 1/ epidemiology/ genetics/immunology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,64SSRT3C,journalArticle,2012,"Halley, J. D.; Smith-Miles, K.; Winkler, D. A.; Kalkan, T.; Huang, S.; Smith, A.",Self-organizing circuitry and emergent computation in mouse embryonic stem cells.,Stem Cell Research,,1876-7753,http://dx.doi.org/10.1016/j.scr.2011.11.001,,"Pluripotency is a cellular state of multiple options. Here, we highlight the potential for self-organization to contribute to stem cell fate computation. A new way of considering regulatory circuitry is presented that describes the expression of each transcription factor (TF) as a branching process that propagates through time, interacting and competing with others. In a single cell, the interactions between multiple branching processes generate a collective process called â€°Ã›Âªcritical-like self-organizationâ€°Ã›Âª. We explain how this phenomenon provides a valid description of whole genome regulatory circuit dynamics. The hypothesis of exploratory stem cell decision-making proposes that critical-like self-organization (also called rapid self-organized criticality) provides the backbone for cell fate computation in regulative embryos and pluripotent stem cells. Unspecific amplification of TF expression is predicted to initiate this self-organizing circuitry, where cascades of gene expression propagate and may interact either synergistically or antagonistically. The emergent and highly dynamic circuitry is affected by various sources of selection pressure, such as the expression of TFs with disproportionate influence over other genes, and extrinsic biological and physical stimuli that differentially modulate particular gene expression cascades. Extrinsic conditions continuously trigger waves of transcription that ripple throughout regulatory networks on multiple spatiotemporal scales, providing the context within which circuitry self-organizes. In this framework, a distinction between instructive and selective mechanisms of fate determination is misleading because it is the â€°Ã›Âªinterference patternâ€°Ã›Âª, rather than any single instructing or selecting factor, that is ultimately responsible for computing and directing cell fate. Using this framework, we consider whether the idea of a naÃŒÃ¸ve ground state of pluripotency and that of a fluctuating transcriptome are compatible, and whether a ground state like that captured in vitro could exist in vivo.",2012-03,9/14/15 19:04,2/9/16 0:19,,324-33,,,8,,,,,,,,,,,,,,,,,,,,,Animals; Biological; Cell Lineage; Embryonic Stem Cells; Mice; Models; Pluripotent Stem Cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,676W56CJ,journalArticle,2014,"Mast, F. D.; Barlow, L. D.; Rachubinski, R. A.; Dacks, J. B.",Evolutionary mechanisms for establishing eukaryotic cellular complexity,Trends In Cell Biology,,,http://dx.doi.org/10.1016/j.tcb.2014.02.003,,"Through a comparative approach, evolutionary cell biology makes use of genomics, bioinformatics, and cell biology of non-model eukaryotes to provide new avenues for understanding basic cellular processes. This approach has led to proposed mechanisms underpinning the evolution of eukaryotic cellular organization including endosymbiotic and autogenous processes and neutral and adaptive processes. Together these mechanisms have contributed to the genesis and complexity of organelles, molecular machines, and genome architecture. We review these mechanisms and suggest that a greater appreciation of the diversity in eukaryotic form has led to a more complete understanding of the evolutionary connections between organelles and the unexpected routes by which this diversity has been reached.",3/19/14,9/14/15 19:04,2/9/16 0:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,682FHH2B,journalArticle,2002,"Park, I. K.; He, Y.; Lin, F.; Laerum, O. D.; Tian, Q.; Bumgarner, R.; Klug, C. A.; Li, K.; Kuhr, C.; Doyle, M. J.; Xie, T.; Schummer, M.; Sun, Y.; Goldsmith, A.; Clarke, M. F.; Weissman, I. L.; Hood, L.; Li, L.",Differential gene expression profiling of adult murine hematopoietic stem cells,Blood,,,http://dx.doi.org/10.1182/blood.V99.2.488,,"Hematopoietic stem cells (HSCs) have self-renewal capacity and multilineage developmental potentials. The molecular mechanisms that control the self-renewal of HSCs are still largely unknown. Here, a systematic approach using bioinformatics and array hybridization techniques to analyze gene expression profiles in HSCs is described. To enrich mRNAs predominantly expressed in uncommitted cell lineages, 54 000 cDNA clones generated from a highly enriched population of HSCs and a mixed population of stem and early multipotent progenitor (MPP) cells were arrayed on nylon membranes (macroarray or high-density array), and subtracted with cDNA probes derived from mature lineage cells including spleen, thymus, and bone marrow. Five thousand cDNA clones with very low hybridization signals were selected for sequencing and further analysis using microarrays on glass slides. Two populations of cells, HSCs and MPP cells, were compared for differential gene expression using microarray analysis. HSCs have the ability to self-renew, while MPP cells have lost the capacity for self-renewal. A large number of genes that were differentially expressed by enriched populations of HSCs and MPP cells were identified. These included transcription factors, signaling molecules, and previously unknown genes.",1/15/02,9/14/15 19:01,2/9/16 0:19,,488-98,,2,99,,,,,,,,,,,,,,,,,,,,,Animals; Complementary/genetics; DNA; Gene Expression Profiling; Gene Library; Hematopoiesis; Hematopoietic Stem Cells/classification/cytology/ metabolism; Inbred C57BL; Messenger/biosynthesis/genetics; Mice; Oligonucleotide Array Sequence Analysis; Protein Biosynthesis; Proteins/genetics; RNA; Subtraction Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,68VIDIJI,journalArticle,2014,"Christian, N.; Skupin, A.; Morante, S.; Jansen, K.; Rossi, G.; Ebenhoh, O.",Mesoscopic behavior from microscopic Markov dynamics and its application to calcium release channels,Journal of Theoretical Biology,,,http://dx.doi.org/10.1016/j.jtbi.2013.11.010,,"A major challenge in biology is to understand how molecular processes determine phenotypic features. We address this fundamental problem in a class of model systems by developing a general mathematical framework that allows the calculation of mesoscopic properties from the knowledge of microscopic Markovian transition probabilities. We show how exact analytic formulae for the first and second moments of resident time distributions in mesostates can be derived from microscopic resident times and transition probabilities even for systems with a large number of microstates. We apply our formalism to models of the inositol trisphosphate receptor, which plays a key role in generating calcium signals triggering a wide variety of cellular responses. We demonstrate how experimentally accessible quantities, such as opening and closing times and the coefficient of variation of inter-spike intervals, and other, more elaborated, quantities can be analytically calculated from the underlying microscopic Markovian dynamics. A virtue of our approach is that we do not need to follow the detailed time evolution of the whole system, as we derive the relevant properties of its steady state without having to take into account the often extremely complicated transient features. We emphasize that our formulae fully agree with results obtained by stochastic simulations and approaches based on a full determination of the microscopic systemâ€°Ã›Âªs time evolution. We also illustrate how experiments can be devised to discriminate between alternative molecular models of the inositol trisphosphate receptor. The developed approach is applicable to any system described by a Markov process and, owing to the analytic nature of the resulting formulae, provides an easy way to characterize also rare events that are of particular importance to understand the intermittency properties of complex dynamic systems.",2/21/14,9/14/15 19:04,2/9/16 0:47,,102-12,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,698H27EW,journalArticle,2011,"Smallbone, Kieran; Malys, Naglis; Messiha, Hanan L.; Wishart, Jill A.; Simeonidis, Evangelos",Building a kinetic model of trehalose biosynthesis in Saccharomyces cerevisiae.,Methods In Enzymology,,,http://dx.doi.org/10.1016/B978-0-12-385118-5.00018-9,,"In this chapter, we describe the steps needed to create a kinetic model of a metabolic pathway based on kinetic data from experimental measurements and literature review. Our methodology is presented by utilizing the example of trehalose metabolism in yeast. The biology of the trehalose cycle is briefly reviewed and discussed.",2011,2/8/16 23:58,2/9/16 0:19,,355-370,,,500,,Methods Enzymol,,,,,,,,eng,Copyright (c) 2011 Elsevier Inc. All rights reserved.,,,,,,,,,,"*Models, Biological; Algorithms; Computer Simulation; Enzyme Assays; Gene Expression Regulation, Fungal; Glucose-6-Phosphate Isomerase/chemistry/physiology; Glucosyltransferases/chemistry/physiology; Glycolysis; Kinetics; Metabolic Networks and Pathways; Phosphoglucomutase/chemistry/physiology; Saccharomyces cerevisiae/enzymology/*metabolism/physiology; Saccharomyces cerevisiae Proteins/chemistry/physiology; Stress, Physiological; Systems Biology; Trehalose/*biosynthesis; UTP-Glucose-1-Phosphate Uridylyltransferase/chemistry/physiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,6K7SNK8R,journalArticle,2012,"Ratushny, A. V.; Saleem, R. A.; Sitko, K.; Ramsey, S. A.; Aitchison, J. D.",Asymmetric positive feedback loops reliably control biological responses,Molecular Systems Biology,,,http://dx.doi.org/10.1038/msb.2012.10,,"Positive feedback is a common mechanism enabling biological systems to respond to stimuli in a switch-like manner. Such systems are often characterized by the requisite formation of a heterodimer where only one of the pair is subject to feedback. This ASymmetric Self-UpREgulation (ASSURE) motif is central to many biological systems, including cholesterol homeostasis (LXRalpha/RXRalpha), adipocyte differentiation (PPARgamma/RXRalpha), development and differentiation (RAR/RXR), myogenesis (MyoD/E12) and cellular antiviral defense (IRF3/IRF7). To understand why this motif is so prevalent, we examined its properties in an evolutionarily conserved transcriptional regulatory network in yeast (Oaf1p/Pip2p). We demonstrate that the asymmetry in positive feedback confers a competitive advantage and allows the system to robustly increase its responsiveness while precisely tuning the response to a consistent level in the presence of varying stimuli. This study reveals evolutionary advantages for the ASSURE motif, and mechanisms for control, that are relevant to pharmacologic intervention and synthetic biology applications.",2012,9/14/15 19:04,2/9/16 0:19,,577,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,6NVMK4GQ,journalArticle,2010,"Jung, S.; Marelli, M.; Rachubinski, R. A.; Goodlett, D. R.; Aitchison, J. D.",Dynamic changes in the subcellular distribution of Gpd1p in response to cell stress,The Journal of Biological Chemistry,,,http://dx.doi.org/10.1074/jbc.M109.058552,,"Gpd1p is a cytosolic NAD(+)-dependent glycerol 3-phosphate dehydrogenase that also localizes to peroxisomes and plays an essential role in the cellular response to osmotic stress and a role in redox balance. Here, we show that Gpd1p is directed to peroxisomes by virtue of an N-terminal type 2 peroxisomal targeting signal (PTS2) in a Pex7p-dependent manner. Significantly, localization of Gpd1p to peroxisomes is dependent on the metabolic status of cells and the phosphorylation of aminoacyl residues adjacent to the targeting signal. Exposure of cells to osmotic stress induces changes in the subcellular distribution of Gpd1p to the cytosol and nucleus. This behavior is similar to Pnc1p, which is coordinately expressed with Gpd1p, and under conditions of cell stress changes its subcellular distribution from peroxisomes to the nucleus where it mediates chromatin silencing. Although peroxisomes are necessary for the beta-oxidation of fatty acids in yeast, the localization of Gpd1p to peroxisomes is not. Rather, shifts in the distribution of Gpd1p to different cellular compartments in response to changing cellular status suggests a role for Gpd1p in the spatial regulation of redox potential, a process critical to cell survival, especially under the complex stress conditions expected to occur in the wild.",2/26/10,9/14/15 19:04,2/9/16 0:19,,6739-49,,9,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,6VXBAT4R,journalArticle,2007,"Hawn, T. R.; Misch, E. A.; Dunstan, S. J.; Thwaites, G. E.; Lan, N. T.; Quy, H. T.; Chau, T. T.; Rodrigues, S.; Nachman, A.; Janer, M.; Hien, T. T.; Farrar, J. J.; Aderem, A.",A common human TLR1 polymorphism regulates the innate immune response to lipopeptides,European Journal of Immunology,,,http://dx.doi.org/10.1002/eji.200737034,,"Toll-like receptors (TLR) are critical mediators of the immune response to pathogens and human polymorphisms in this gene family regulate inflammatory pathways and are associated with susceptibility to infection. Lipopeptides are present in a wide variety of microbes and stimulate immune responses through TLR1/2 or TLR2/6 heterodimers. It is not currently known whether polymorphisms in TLR1 regulate the innate immune response. We stimulated human whole blood with triacylated lipopeptide, a ligand for TLR1/2 heterodimers, and found substantial inter-individual variation in the immune response. We sequenced the coding region of TLR1 and found a non-synonymous polymorphism, I602S (base pair T1805G), that regulated signalling. In comparison to TLR1_602S, the 602I variant mediated substantially greater basal and lipopeptide-induced NF-kappaB signalling in transfected HEK293 cells. These signalling differences among TLR1 variants were also found with stimulation by extracts of Mycobacterium tuberculosis. Furthermore, individuals with the 602II genotype produced substantially more IL-6 than those with the 602SS variant in a lipopeptide-stimulated whole-blood cytokine assay. Together, these observations demonstrate that variation in the inflammatory response to bacterial lipopeptides is regulated by a common TLR1 transmembrane domain polymorphism that could potentially impact the innate immune response and clinical susceptibility to a wide spectrum of pathogens.",2007-08,9/14/15 19:03,2/9/16 0:19,,2280-9,,8,37,,,,,,,,,,,,,,,,,,,,,*Immunity; Bacterial Proteins/*immunology; Base Sequence; Fluorescent Antibody Technique; Humans; Immunoblotting; Innate; Lipoproteins/*immunology; Mycobacterium tuberculosis/immunology; NF-kappa B; Polymerase Chain Reaction; Polymorphism; Single Nucleotide; Toll-Like Receptor 1/*genetics; Transfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,6XQH3VKV,journalArticle,2010,"Ezeji, Thaddeus; Milne, Caroline; Price, Nathan D.; Blaschek, Hans P.",Achievements and perspectives to overcome the poor solvent resistance in acetone and butanol-producing microorganisms.,Applied Microbiology and Biotechnology,,,http://dx.doi.org/10.1007/s00253-009-2390-0,,"Anaerobic bacteria such as the solventogenic clostridia can ferment a wide range of carbon sources (e.g., glucose, galactose, cellobiose, mannose, xylose, and arabinose) to produce carboxylic acids (acetic and butyric) and solvents such as acetone, butanol, and ethanol (ABE). The fermentation process typically proceeds in two phases (acidogenic and solventogenic) in a batch mode. Poor solvent resistance by the solventogenic clostridia and other fermenting microorganisms is a major limiting factor in the profitability of ABE production by fermentation. The toxic effect of solvents, especially butanol, limits the concentration of these solvents in the fermentation broth, limiting solvent yields and adding to the cost of solvent recovery from dilute solutions. The accepted dogma is that toxicity in the ABE fermentation is due to chaotropic effects of butanol on the cell membranes of the fermenting microorganisms, which poses a challenge for the biotechnological whole-cell bio-production of butanol. This mini-review is focused on (1) the effects of solvents on inhibition of cell metabolism (nutrient transport, ion transport, and energy metabolism); (2) cell membrane fluidity, death, and solvent tolerance associated with the ability of cells to tolerate high concentrations of solvents without significant loss of cell function; and (3) strategies for overcoming poor solvent resistance in acetone and butanol-producing microorganisms.",2010-02,2/8/16 23:58,2/9/16 0:19,,1697-1712,,6,85,,Appl Microbiol Biotechnol,,,,,,,,eng,,,,,,,,,,,*Biotechnology; *Fermentation; Acetone/*metabolism; Butanols/*metabolism; Cell Membrane/metabolism; Clostridium/genetics/growth & development/*metabolism; Membrane Fluidity/genetics; Solvents/*metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,6XSN95I2,journalArticle,2015,"Zelter, A.; Bonomi, M.; Kim, J. O.; Umbreit, N. T.; Hoopmann, M. R.; Johnson, R.; Riffle, M.; Jaschob, D.; MacCoss, M. J.; Moritz, R. L.; Davis, T. N.",The molecular architecture of the Dam1 kinetochore complex is defined by cross-linking based structural modelling,Nature Communications,,2041-1723 (Electronic) 2041-1723 (Linking),http://dx.doi.org/10.1038/ncomms9673,,"Accurate segregation of chromosomes during cell division is essential. The Dam1 complex binds kinetochores to microtubules and its oligomerization is required to form strong attachments. It is a key target of Aurora B kinase, which destabilizes erroneous attachments allowing subsequent correction. Understanding the roles and regulation of the Dam1 complex requires structural information. Here we apply cross-linking/mass spectrometry and structural modelling to determine the molecular architecture of the Dam1 complex. We find microtubule attachment is accompanied by substantial conformational changes, with direct binding mediated by the carboxy termini of Dam1p and Duo1p. Aurora B phosphorylation of Dam1p C terminus weakens direct interaction with the microtubule. Furthermore, the Dam1p amino terminus forms an interaction interface between Dam1 complexes, which is also disrupted by phosphorylation. Our results demonstrate that Aurora B inhibits both direct interaction with the microtubule and oligomerization of the Dam1 complex to drive error correction during mitosis.",2015,2/8/16 18:56,2/8/16 18:56,,8673,,,6,,Nat Commun,,,,,,,,eng,,,,,,,,"The following values have no corresponding Zotero field:<br/>auth-address: Department of Biochemistry, University of Washington, Seattle, Washington 98195, USA. Department of Chemistry, University of Cambridge, Cambridge CB2 1EW, UK. Institute for Systems Biology, Seattle, Washington 98109, USA. Department of Genome Sciences, University of Washington, Seattle, Washington 98195, USA.<br/>alt-title: Nat Commun<br/>edition: 2015/11/13<br/>accession-num: 26560693; <p>Zelter, Alex<br/>Bonomi, Massimiliano<br/>Kim, Jae Ook<br/>Umbreit, Neil T<br/>Hoopmann, Michael R<br/>Johnson, Richard<br/>Riffle, Michael<br/>Jaschob, Daniel<br/>MacCoss, Michael J<br/>Moritz, Robert L<br/>Davis, Trisha N<br/>P41 GM103533/GM/NIGMS NIH HHS/<br/>P50 GM076547/GM/NIGMS NIH HHS/<br/>R01 GM040506/GM/NIGMS NIH HHS/<br/>R01 GM087221/GM/NIGMS NIH HHS/<br/>S10 RR027584/RR/NCRR NIH HHS/<br/>England<br/>Nat Commun. 2015 Nov 12;6:8673. doi: 10.1038/ncomms9673.</p>",,http://www.ncbi.nlm.nih.gov/pubmed/26560693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,76Z3J7TC,journalArticle,2013,"Kay, P.; Choudhury, R.; Nel, M.; Orellana, M. V.; P. M.Durand",Multicolour flow cytometry analyses and autofluorescence in chlorophytes: lessons from programmed cell death studies in Chlamydomonas reinhardtii,Journal of Applied Phycology,,,http://dx.doi.org/10.1007/s10811-013-9988-4,,,2013-10,9/14/15 19:04,2/9/16 0:19,,1473-1482,,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,78PHH6BG,journalArticle,2001,"Marelli, M.; Dilworth, D. J.; Wozniak, R. W.; Aitchison, J. D.",The dynamics of karyopherin-mediated nuclear transport,Biochemistry and Cell Biology,,,http://dx.doi.org/10.1139/bcb-79-5-603,,"The regulated exchange of proteins and nucleic acids between the nucleus and cytoplasm demands a complex interplay between nuclear pore complexes (NPCs), which provide conduits in the nuclear envelope, and mobile transport receptors (or karyopherins, also known as importins/exportins) that bind and mediate the translocation of cargoes through the NPCs. Biochemical characterization of individual karyopherins has led to the identification of many of their cargoes and to the elucidation of the mechanisms by which they mediate transport. Likewise, the characterization of numerous NPC-associated components, in combination with structural studies of NPCs, have begun to address the possible mechanisms that drive nucleocytoplasmic transport, and the role that different nucleoporins play in the transport process. Some recent studies indicate that several NPC-associated factors, previously thought to be stable components of the NPC, dynamically interact with both nuclear and cytoplasmic aspects of the NPC. The mobility of these components challenges our conventional view of the NPC as the stationary phase of transport. These components and their potiential roles in nucleo-cytoplasmic transport are discussed.",2001,9/14/15 19:01,2/9/16 0:19,,603-12,,5,79,,,,,,,,,,,,,,,,,,,,,*Active Transport; Animals; beta Karyopherins/*metabolism; Biological; Cell Nucleus; Cytoplasm/metabolism; Models; Nuclear Envelope/*metabolism; Nuclear Pore Complex Proteins/metabolism; Protein Transport; Saccharomyces cerevisiae Proteins/metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,7AF7EZGV,journalArticle,2014,"Cary, G. A.; Yoon, S. H.; Garmendia Torres, C.; Wang, K.; Hays, M.; Ludlow, C.; Goodlett, D. R.; Dudley, A. M.",Identification and characterization of a drug-sensitive strain enables puromycin-based translational assays in Saccharomyces cerevisiae,Yeast,,,http://dx.doi.org/10.1002/yea.3007,,"Puromycin is an aminonucleoside antibiotic with structural similarity to aminoacyl tRNA. This structure allows the drug to bind the ribosomal A site and incorporate into nascent polypeptides, causing chain termination, ribosomal subunit dissociation and widespread translational arrest at high concentrations. In contrast, at sufficiently low concentrations, puromycin incorporates primarily at the C-terminus of proteins. While a number of techniques utilize puromycin incorporation as a tool for probing translational activity in vivo, these methods cannot be applied in yeasts that are insensitive to puromycin. Here, we describe a mutant strain of the yeast Saccharomyces cerevisiae that is sensitive to puromycin and characterize the cellular response to the drug. Puromycin inhibits the growth of yeast cells mutant for erg6, pdr1 and pdr3 (EPP) on both solid and liquid media. Puromycin also induces the aggregation of the cytoplasmic processing body component Edc3 in the mutant strain. We establish that puromycin is rapidly incorporated into yeast proteins and test the effects of puromycin on translation in vivo. This study establishes the EPP strain as a valuable tool for implementing puromycin-based assays in yeast, which will enable new avenues of inquiry into protein production and maturation. Copyright (c) 2014 John Wiley & Sons, Ltd.",2014-05,9/14/15 19:04,2/9/16 0:19,,167-78,,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,7AFWWUWH,journalArticle,2007,"Ma, L.; Sun, B.; Hood, L.; Tian, Q.",Molecular profiling of stem cells,Clinica Chimica Acta,,,http://dx.doi.org/10.1016/j.cca.2006.12.016,,"Stem cells, with their profound implication in development and enormous potential in regenerative medicine, have been the subject of extensive molecular profiling studies in search of better markers and regulatory schema governing self-renewal versus differentiation. In this review article, we will discuss current advancement in high throughput technologies dedicated to the transcriptome, proteome and genome-wide localization analyses, and how they have been adopted in molecular profiling of stem cells with an emphasis on embryonic stem cell (ESC), hematopoietic stem cell (HSC) and neural stem cell (NSC).",2007-03,9/14/15 19:03,2/9/16 0:19,,24-32,,2-Jan,378,,,,,,,,,,,,,,,,,,,,,Animals; Embryonic Stem Cells/metabolism; Gene Expression Profiling; Genetic; Hematopoietic Stem Cells/metabolism; Humans; Neurons/cytology; Proteomics; Stem Cells/ metabolism; Transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,7BWM8RQ9,journalArticle,2008,"Wu, Z.; Jia, X.; de la Cruz, L.; Su, X. C.; Marzolf, B.; Troisch, P.; Zak, D.; Hamilton, A.; Whittle, B.; Yu, D.; Sheahan, D.; Bertram, E.; Aderem, A.; Otting, G.; Goodnow, C. C.; Hoyne, G. F.",Memory T cell RNA rearrangement programmed by heterogeneous nuclear ribonucleoprotein hnRNPLL,Immunity,,,http://dx.doi.org/10.1016/j.immuni.2008.11.004,,"Differentiation of memory cells involves DNA-sequence changes in B lymphocytes but is less clearly defined in T cells. RNA rearrangement is identified here as a key event in memory T cell differentiation by analysis of a mouse mutation that altered the proportions of naive and memory T cells and crippled the process of Ptprc exon silencing needed to generate CD45RO in memory T cells. A single substitution in a memory-induced RNA-binding protein, hnRNPLL, destabilized an RNA-recognition domain that bound with micromolar affinity to RNA containing the Ptprc exon-silencing sequence. Hnrpll mutation selectively diminished T cell accumulation in peripheral lymphoid tissues but not proliferation. Exon-array analysis of Hnrpll mutant naive and memory T cells revealed an extensive program of alternative mRNA splicing in memory T cells, coordinated by hnRNPLL. A remarkable overlap with alternative splicing in neural tissues may reflect a co-opted strategy for diversifying memory T cells.",12/19/08,9/14/15 19:03,2/9/16 0:19,,863-75,,6,29,,,,,,,,,,,,,,,,,,,,,Alternative Splicing/*genetics; Amino Acid Sequence; Animals; Antigens; CD45/immunology/metabolism; Exons/*genetics; Heterogeneous-Nuclear Ribonucleoproteins/genetics/immunology/*metabolism; Immunologic Memory/*genetics; Mice; Missense/genetics; Molecular Sequence Data; Mutant Strains; Mutation; Protein Isoforms/genetics/immunology/metabolism; RNA/*genetics/immunology; T-Lymphocyte Subsets/*immunology/metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Dynamics,7E7SJ4CV,journalArticle,2004,"Andalis, A. A.; Storchova, Z.; Styles, C.; Galitski, T.; Pellman, D.; Fink, G. R.",Defects arising from whole-genome duplications in Saccharomyces cerevisiae,Genetics,,,http://dx.doi.org/10.1534/genetics.104.029256,,"Comparisons among closely related species have led to the proposal that the duplications found in many extant genomes are the remnants of an ancient polyploidization event, rather than a result of successive duplications of individual chromosomal segments. If this interpretation is correct, it would support Ohnoâ€°Ã›Âªs proposal that polyploidization drives evolution by generating the genetic material necessary for the creation of new genes. Paradoxically, analysis of contemporary polyploids suggests that increased ploidy is an inherently unstable state. To shed light on this apparent contradiction and to determine the effects of nascent duplications of the entire genome, we generated isogenic polyploid strains of the budding yeast Saccharomyces cerevisiae. Our data show that an increase in ploidy results in a marked decrease in a cellâ€°Ã›Âªs ability to survive during stationary phase in growth medium. Tetraploid cells die rapidly, whereas isogenic haploids remain viable for weeks. Unlike haploid cells, which arrest growth as unbudded cells, tetraploid cells continue to bud and form mitotic spindles in stationary phase. The stationary-phase death of tetraploids can be prevented by mutations or conditions that result in growth arrest. These data show that whole-genome duplications are accompanied by defects that affect viability and subsequent survival of the new organism.",2004-07,9/14/15 19:02,2/9/16 0:19,,1109-21,,3,167,,,,,,,,,,,,,,,,,,,,,*Evolution; *Genome; *Polyploidy; 3-beta-D-Glucosidase; Fluorescent Antibody Technique; Fungal; Glucan Endo-1; Indirect; Indoles; Microarray Analysis; Molecular; Saccharomyces cerevisiae/*genetics/*growth & development; Species Specificity; Time Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
