ID,Age,Gender,Primary Race,Secondary Race,Ethnicity,Rebuild Services
aesm10011965a365e240,50,Male,,,,Phones
aesm10011965a365e240,50,Male,,,,Showers
afrf11021961a500f623,54,Female,,,,Phones
afrf11021961a500f623,54,Female,,,,Showers
afrm02071972a650f630,44,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
agbm02231995a535g125,21,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
agim06271963a535g430,52,Male,,,,Financial Assistance
aglm07301956a413g453,59,Male,,,,Phones
aglm07301956a413g453,59,Male,,,,Staff Person
agom03041974a620g416,42,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Medical
agom03041974a620g416,42,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
agom03041974a620g416,42,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Prescription
agom03041974a620g416,42,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Visiting
agom03041974a620g416,42,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
ahbm07151970a524h163,45,Male,,,,Mail
ahbm07151970a524h163,45,Male,,,,Showers
ahif07131960a524h255,55,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Mail
ahif07131960a524h255,55,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Showers
ahif07131960a524h255,55,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),
ahlf10041992a240h435,23,Female,,,,Case Management
ahnf10171962a420h560,53,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
ahnm11231972a416h536,43,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
ahnm11231972a416h536,43,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
ahpm11131959a636h125,56,Male,Black or African American (HUD),,,Groceries
ahpm11131959a636h125,56,Male,Black or African American (HUD),,,Showers
ahrf10091967a524h616,48,Female,American Indian or Alaska Native (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Birth Certificate
ahrf10091967a524h616,48,Female,American Indian or Alaska Native (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Case Management
ahrf10091967a524h616,48,Female,American Indian or Alaska Native (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Mail
ahrm05291990a536h610,26,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
ajcm06121923a452j250,92,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
ajgm12061962a630j262,53,Male,,,,Phones
ajhf10291974a164j525,41,Female,White (HUD),Other,Non-Hispanic/Non-Latino (HUD),Mail
ajhf10291974a164j525,41,Female,White (HUD),Other,Non-Hispanic/Non-Latino (HUD),Showers
ajhf10291974a164j525,41,Female,White (HUD),Other,Non-Hispanic/Non-Latino (HUD),Visiting
ajhf10291974a164j525,41,Female,White (HUD),Other,Non-Hispanic/Non-Latino (HUD),
ajhm04241985a425j525,31,Male,,,,Showers
ajhm05191972a200j525,44,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
ajhm12151946a223j525,69,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Birth Certificate
ajhm12151946a223j525,69,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Groceries
ajhm12151946a223j525,69,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
ajhm12151946a223j525,69,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
ajhm12151946a223j525,69,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
ajnf12101968a500j520,47,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Medical
ajnf12101968a500j520,47,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
ajnf12101968a500j520,47,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
ajnf12101968a500j520,47,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
ajnf12101968a500j520,47,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Visiting
ajnm02181957a415j520,59,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Medical
ajnm02181957a415j520,59,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Other
ajnm02181957a415j520,59,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
ajnm04241985a420j520,31,Male,,,,Showers
ajnm04241985a425j520,31,Male,,,,Mail
ajnm04241985a425j520,31,Male,,,,Showers
ajnm04241985a425j520,31,Male,,,,
ajnm12111986a450j520,29,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
ajnm12111986a450j520,29,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
aknm10231979a415k520,36,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
aknm10231979a415k520,36,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
aknm10231979a415k520,36,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
aknm10251979a415k520,36,Male,,,,Phones
aknm12231979a450k520,36,Male,,,,Phones
aknm12231979a450k520,36,Male,,,,
akrm03121967a636k620,49,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
albm10201994a450l145,21,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Mail
albm10201994a450l145,21,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Other
albm10201994a450l145,21,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
albm10201994a450l145,21,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
aldf07201970a420l330,45,Female,White (HUD),,Non-Hispanic/Non-Latino (HUD),Other
aldf07201970a420l330,45,Female,White (HUD),,Non-Hispanic/Non-Latino (HUD),
alnm06131962a520l532,53,Male,,,,Phones
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Food Stamps
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Groceries
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Medical
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Other
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
alnm06231977a350l524,38,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),
alwm05031952a415l350,64,Male,,,,Case Management
amcf05191972a600m245,44,Female,,,,Phones
amcm05191972a200m245,44,Male,,,,Hygiene
amcm05191972a200m245,44,Male,,,,Legal
amcm05191972a200m245,44,Male,,,,Mail
amcm05191972a200m245,44,Male,,,,Medical
amcm05191972a200m245,44,Male,,,,Other
amcm05191972a200m245,44,Male,,,,Phones
amcm05191972a200m245,44,Male,,,,Showers
amcm05191972a200m245,44,Male,,,,Staff Person
amcm05191972a200m245,44,Male,,,,Visiting
amgm09281957a536m260,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
amgm09281957a536m260,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
amgm09281957a536m260,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
amkf06211979a553m254,36,Female,,,,
amlm04161987a425m430,29,Male,,,,Showers
amlm06041987a425m460,28,Male,Black or African American (HUD),,,Case Management
amlm06041987a425m460,28,Male,Black or African American (HUD),,,Ids
amlm06041987a425m460,28,Male,Black or African American (HUD),,,Mail
amlm06041987a425m460,28,Male,Black or African American (HUD),,,Phones
amlm06041987a425m460,28,Male,Black or African American (HUD),,,Showers
amnf06071959a430m532,56,Female,Black or African American (HUD),,,Groceries
amnf06071959a430m532,56,Female,Black or African American (HUD),,,Other
amnf06071959a430m532,56,Female,Black or African American (HUD),,,Phones
amnf06071959a430m532,56,Female,Black or African American (HUD),,,Showers
amnf06071959a430m532,56,Female,Black or African American (HUD),,,
amrf09181976a350m625,39,Female,,,,Ids
amrm05201967a415m635,49,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Case Management
amrm05201967a415m635,49,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
amrm05201967a415m635,49,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
amrm09091970a450m600,45,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Mail
amrm09091970a450m600,45,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
amrm09091970a450m600,45,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
amrm09091970a450m600,45,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),
amrm09091970a450m650,45,Male,,,,Showers
amsm08131970a536m216,45,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Groceries
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Case Management
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Ids
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Mail
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Medical
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Prescription
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
amtm01221980a415m365,36,Male,Native Hawaiian or Other Pacific Islander (HUD),,Non-Hispanic/Non-Latino (HUD),
anlm12161963a535n425,52,Male,Black or African American (HUD),,,
anrm07241962a450n655,53,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Phones
anrm07241962a450n655,53,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Showers
anrm07241962a450n655,53,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),
apcf09051957a500p263,58,Female,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Groceries
apef07301952a640p620,63,Female,,,,Phones
apim08161977a160p200,38,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
apim08161977a160p200,38,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
apim08161977a160p200,38,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
apnm07111958a535p534,57,Male,,,,Case Management
apnm07111958a535p534,57,Male,,,,Groceries
apnm07111958a535p534,57,Male,,,,Showers
apnm07111958a535p534,57,Male,,,,Staff Person
apnm07111958a535p534,57,Male,,,,
aprm04181964a415p600,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
aprm04181964a415p600,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
aprm04181964a415p600,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
aprm11261959a536p636,56,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Mail
aprm11261959a536p636,56,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Medical
aprm11261959a536p636,56,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
aprm11261959a536p636,56,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),
apt 07301952a640p362,63,,,,,Birth Certificate
apt 07301952a640p362,63,,,,,Case Management
apt 07301952a640p362,63,,,,,Mail
apt 07301952a640p362,63,,,,,Medical
apt 07301952a640p362,63,,,,,Other
apt 07301952a640p362,63,,,,,Phones
apt 07301952a640p362,63,,,,,Showers
apt 07301952a640p362,63,,,,,Visiting
apt 07301952a640p362,63,,,,,
aptf04051972a365p330,44,Female,White (HUD),,Non-Hispanic/Non-Latino (HUD),Birth Certificate
aptf04051972a365p330,44,Female,White (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
aptm08041962a350p316,53,Male,Black or African American (HUD),Client doesn't know (HUD),Non-Hispanic/Non-Latino (HUD),Medical
aptm08041962a350p316,53,Male,Black or African American (HUD),Client doesn't know (HUD),Non-Hispanic/Non-Latino (HUD),
aptm12161957a456p362,58,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
aptm12161957a456p362,58,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
araf02021977a500r500,39,Female,,,,Ids
araf02021977a610r500,39,Female,,,,
arcm11211958a416r263,57,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
arct11211958a415r263,57,Transgender male to female,,,,Medical
arem01111963a535r200,53,Male,,,,
arem04261965a420r300,51,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
arem04261965a420r300,51,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
arfm08281959a535r150,56,Male,,,,Showers
argf02021977a500r250,39,Female,,,,Mail
argm12171969a536r260,46,Male,,,,
arlf07201970a420r430,45,Female,,,,Case Management
armm08181947a450r562,68,Male,Other,,Hispanic/Latino (HUD),Showers
arpm07201983a450r152,32,Male,,,,Phones
arpm07201983a450r152,32,Male,,,,Showers
arsm12071969a535r200,46,Male,Black or African American (HUD),,,Showers
arsm12071969a535r200,46,Male,Black or African American (HUD),,,Staff Person
arvm12171969a536r160,46,Male,,,,Showers
asam01231989a650s660,27,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Groceries
asam01231989a650s660,27,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),
asgf09151970a524s246,45,Female,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Case Management
asgf09151970a524s246,45,Female,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
asif05031982a650s530,34,Female,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Ids
asif05031982a650s530,34,Female,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Other
asim07011958a416s530,57,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
asim08171966a535s314,49,Male,,,,Phones
asim08171966a535s314,49,Male,,,,Showers
asim10031957a425s530,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Case Management
asim10031957a425s530,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
asim10031957a425s530,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
asim10031957a425s530,58,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
asim10091957a140s530,58,Male,,,,Showers
asim10281963a535s530,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
asim10281963a535s530,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
asim10281963a535s530,52,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
asmm11111959a535s550,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Groceries
asmm11111959a535s550,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
asmm11111959a535s550,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
asnm00000000a535s532,,Male,,,,Mail
asrm01071954a536s630,62,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Food Stamps
atdm10191985a223t340,30,Male,,,,Mail
atdm10191985a223t340,30,Male,,,,Showers
ato 06201982a365t520,33,,,,,Information
ato 06201982a365t520,33,,,,,Mail
ato 06201982a365t520,33,,,,,Other
ato 06201982a365t520,33,,,,,Phones
ato 06201982a365t520,33,,,,,Showers
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Mail
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Other
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Prescription
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
atom05171987a650t520,29,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
atom09091986a536t520,29,Male,,,,Phones
atom09091986a536t520,29,Male,,,,Showers
atom11011980a550t520,35,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
atom12191951a621t512,64,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Legal
atrm12311941a630t620,74,Male,,,,Other
atrm12311941a630t620,74,Male,,,,Phones
atrm12311941a630t620,74,Male,,,,Showers
atuf05121988a516t230,28,Female,,,,Mail
atym10191985a223t460,30,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
atym10191985a223t460,30,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
atym10271953a435t460,62,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
avcm01211962a536v236,54,Male,,,,Showers
avlm11071969a524v422,46,Male,American Indian or Alaska Native (HUD),,Hispanic/Latino (HUD),Mail
avlm11071969a524v422,46,Male,American Indian or Alaska Native (HUD),,Hispanic/Latino (HUD),Phones
avlm11071969a524v422,46,Male,American Indian or Alaska Native (HUD),,Hispanic/Latino (HUD),Showers
avrm00000000a535v634,,Male,,,Non-Hispanic/Non-Latino (HUD),Phones
awim08281961a632w300,54,Male,,,,Mail
awim08281961a632w300,54,Male,,,,Showers
awlm01141993a416w452,23,Male,,,,Showers
awlm01181985a535w452,31,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
awlm01181985a535w452,31,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
awlm01181985a535w452,31,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
awlm01181985a535w452,31,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
awlm01181985a535w452,31,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
awlm02121965a416w452,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
awlm02121965a416w452,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
awlm02121965a416w452,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Visiting
awlm02121965a416w452,51,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
awlm02261961a636w425,55,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
awlm04181973a535w452,43,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Ids
awlm04181973a535w452,43,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
awlm09011958a535w452,57,Male,,,,Showers
awlm09011958a535w452,57,Male,,,,
awnf09051991a240w523,24,Female,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
awsm05111975a636w252,41,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Groceries
awsm05111975a636w252,41,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
awsm05111975a636w252,41,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
awsm05111975a636w252,41,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
awsm05111975a636w252,41,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
awtf06051981a516w356,34,Female,,,,
awtm12181965a416w325,50,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Other
awtm12181965a416w325,50,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
awtm12181965a416w325,50,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
azz008408553zzzzzzzz,31,,,,,Showers
b1 m01011991b000    ,25,Male,,,,
baam05271956b650a352,60,Male,,,,Mail
baam05271956b650a352,60,Male,,,,Phones
baam05271956b650a352,60,Male,,,,Visiting
baam05271963b650a352,53,Male,,,,Phones
baef00000000b362a425,,Female,,,,
baem06301963b500a425,52,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
baem06301963b500a425,52,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
balm09061985b653a450,30,Male,,,,
bamm11151957b620a553,58,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Ids
bamm11151957b620a553,58,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
banm04021972b400a500,44,Male,,,,
bbcm07201990b653b200,25,Male,,,,Mail
