Keyword,Year,Number of Publications
Personalized Medicine ,2014,4281
Personalized Medicine ,2013,3119
Personalized Medicine ,2012,2721
Personalized Medicine ,2011,1962
Personalized Medicine ,2010,1658
Personalized Medicine ,2009,1017
Personalized Medicine ,2008,748
Personalized Medicine ,2007,622
Personalized Medicine ,2006,462
Personalized Medicine ,2005,450
Personalized Medicine ,2004,392
Personalized Medicine ,2003,324
Personalized Medicine ,2002,288
Personalized Medicine ,2001,234
Personalized Medicine ,2000,200
Personalized Medicine ,1999,222
Personalized Medicine ,1998,241
Personalized Medicine ,1997,196
Personalized Medicine ,1996,189
Personalized Medicine ,1995,173
Personalized Medicine ,1994,181
Personalized Medicine ,1993,169
Personalized Medicine ,1992,136
Personalized Medicine ,1991,145
Personalized Medicine ,1990,175
Personalized Medicine ,1989,111
Personalized Medicine ,1988,124
Personalized Medicine ,1987,66
Personalized Medicine ,1986,12
Personalized Medicine ,1985,11
Personalized Medicine ,1984,12
Personalized Medicine ,1983,9
Personalized Medicine ,1982,11
Personalized Medicine ,1981,10
Personalized Medicine ,1980,13
Personalized Medicine ,1979,12
Personalized Medicine ,1978,6
Personalized Medicine ,1977,6
Personalized Medicine ,1976,6
Personalized Medicine ,1975,14
Personalized Medicine ,1974,1
Personalized Medicine ,1971,3
Personalized Medicine ,1970,1
Personalized Medicine ,1968,1
Personalized Medicine ,1967,2
Personalized Medicine ,1966,1
Personalized Medicine ,1965,1
Personalized Medicine ,1963,1
Personalized Medicine ,1962,1
Personalized Medicine ,1961,1
Personalized Medicine ,1958,2
Personalized Medicine ,1957,1
Personalized Medicine ,1952,1
P4 Medicine,2016,133
P4 Medicine,2015,167
P4 Medicine,2014,124
P4 Medicine,2013,84
P4 Medicine,2012,85
P4 Medicine,2011,73
P4 Medicine,2010,61
P4 Medicine,2009,59
P4 Medicine,2008,52
P4 Medicine,2007,67
P4 Medicine,2006,52
P4 Medicine,2005,43
P4 Medicine,2004,39
P4 Medicine,2003,41
P4 Medicine,2002,54
P4 Medicine,2001,34
P4 Medicine,2000,41
P4 Medicine,1999,60
P4 Medicine,1998,49
P4 Medicine,1997,46
P4 Medicine,1996,28
P4 Medicine,1995,51
P4 Medicine,1994,56
P4 Medicine,1993,38
P4 Medicine,1992,49
P4 Medicine,1991,49
P4 Medicine,1990,31
P4 Medicine,1989,35
P4 Medicine,1988,30
P4 Medicine,1987,14
P4 Medicine,1986,1
P4 Medicine,1983,1
P4 Medicine,1980,1
P4 Medicine,1970,1
P4 Medicine,1964,1
Whole Genome Sequencing,2016,1848
Whole Genome Sequencing,2015,2721
Whole Genome Sequencing,2014,2253
Whole Genome Sequencing,2013,1570
Whole Genome Sequencing,2012,1143
Whole Genome Sequencing,2011,700
Whole Genome Sequencing,2010,459
Whole Genome Sequencing,2009,321
Whole Genome Sequencing,2008,225
Whole Genome Sequencing,2007,194
Whole Genome Sequencing,2006,168
Whole Genome Sequencing,2005,159
Whole Genome Sequencing,2004,158
Whole Genome Sequencing,2003,116
Whole Genome Sequencing,2002,108
Whole Genome Sequencing,2001,80
Whole Genome Sequencing,2000,85
Whole Genome Sequencing,1999,58
Whole Genome Sequencing,1998,50
Whole Genome Sequencing,1997,39
Whole Genome Sequencing,1996,33
Whole Genome Sequencing,1995,28
Whole Genome Sequencing,1994,31
Whole Genome Sequencing,1993,14
Whole Genome Sequencing,1992,16
Whole Genome Sequencing,1991,15
Whole Genome Sequencing,1990,8
Whole Genome Sequencing,1989,12
Whole Genome Sequencing,1988,3
Whole Genome Sequencing,1986,1
Whole Genome Sequencing,1985,1
Whole Genome Sequencing,1984,2
Whole Genome Sequencing,1982,3
Whole Genome Sequencing,1981,1
Whole Genome Sequencing,1979,1
Whole Genome Sequencing,1978,1
Single Nucleotide Protein,2016,1343
Single Nucleotide Protein,2015,5628
Single Nucleotide Protein,2014,6105
Single Nucleotide Protein,2013,5892
Single Nucleotide Protein,2012,5474
Single Nucleotide Protein,2011,4907
Single Nucleotide Protein,2010,4271
Single Nucleotide Protein,2009,3885
Single Nucleotide Protein,2008,3310
Single Nucleotide Protein,2007,2733
Single Nucleotide Protein,2006,2266
Single Nucleotide Protein,2005,1933
Single Nucleotide Protein,2004,1486
Single Nucleotide Protein,2003,1120
Single Nucleotide Protein,2002,979
Single Nucleotide Protein,2001,855
Single Nucleotide Protein,2000,696
Single Nucleotide Protein,1999,535
Single Nucleotide Protein,1998,547
Single Nucleotide Protein,1997,515
Single Nucleotide Protein,1996,472
Single Nucleotide Protein,1995,476
Single Nucleotide Protein,1994,497
Single Nucleotide Protein,1993,486
Single Nucleotide Protein,1992,442
Single Nucleotide Protein,1991,444
Single Nucleotide Protein,1990,395
Single Nucleotide Protein,1989,347
Single Nucleotide Protein,1988,375
Single Nucleotide Protein,1987,253
Single Nucleotide Protein,1986,220
Single Nucleotide Protein,1985,186
Single Nucleotide Protein,1984,153
Single Nucleotide Protein,1983,128
Single Nucleotide Protein,1982,67
Single Nucleotide Protein,1981,79
Single Nucleotide Protein,1980,53
Single Nucleotide Protein,1979,33
Single Nucleotide Protein,1978,35
Single Nucleotide Protein,1977,23
Single Nucleotide Protein,1976,32
Single Nucleotide Protein,1975,27
Single Nucleotide Protein,1974,3
Single Nucleotide Protein,1973,4
Single Nucleotide Protein,1972,2
Single Nucleotide Protein,1971,1
Single Nucleotide Protein,1970,1
Single Nucleotide Protein,1969,1
Single Nucleotide Protein,1967,2
Single Nucleotide Protein,1966,1
Single Nucleotide Protein,1959,1
Gene Editing,2016,921
Gene Editing,2015,919
Gene Editing,2014,650
Gene Editing,2013,388
Gene Editing,2012,273
Gene Editing,2011,235
Gene Editing,2010,185
Gene Editing,2009,174
Gene Editing,2008,183
Gene Editing,2007,155
Gene Editing,2006,153
Gene Editing,2005,126
Gene Editing,2004,145
Gene Editing,2003,111
Gene Editing,2002,121
Gene Editing,2001,123
Gene Editing,2000,104
Gene Editing,1999,95
Gene Editing,1998,88
Gene Editing,1997,92
Gene Editing,1996,96
Gene Editing,1995,71
Gene Editing,1994,91
Gene Editing,1993,63
Gene Editing,1992,55
Gene Editing,1991,43
Gene Editing,1990,39
Gene Editing,1989,19
Gene Editing,1988,6
Gene Editing,1987,1
Gene Editing,1986,4
Gene Editing,1985,1
Gene Editing,1984,5
Gene Editing,1983,5
Gene Editing,1982,2
Gene Editing,1980,2
Gene Editing,1977,2
Omics,2016,1025
Omics,2015,1028
Omics,2014,837
Omics,2013,683
Omics,2012,597
Omics,2011,472
Omics,2010,351
Omics,2009,256
Omics,2008,201
Omics,2007,147
Omics,2006,118
Omics,2005,78
Omics,2004,65
Omics,2003,64
Omics,2002,36
Omics,2001,1
